FREQ;DUUR;TIJDSEENHEID;Q;BRON;PERIODE;REF_JAAR;SCENARIO;;
0,1;96;uur;89;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,05;96;uur;99;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,02;96;uur;112;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,01;96;uur;122;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
5;192;uur;46;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
2;192;uur;66;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
1;192;uur;78;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,5;192;uur;90;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,2;192;uur;105;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,1;192;uur;116;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,05;192;uur;126;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,02;192;uur;140;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,01;192;uur;150;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
2;10;min;8;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
2;30;min;10;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
2;60;min;13;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
2;2;uur;15;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
2;4;uur;19;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
2;8;uur;22;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
2;12;uur;25;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
2;24;uur;30;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
2;2;dag;39;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
2;4;dag;50;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
2;8;dag;68;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
1;10;min;10;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
1;30;min;13;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
1;60;min;16;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
1;2;uur;20;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
1;4;uur;23;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
1;8;uur;28;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
1;12;uur;31;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
1;24;uur;37;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
1;2;dag;46;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
1;4;dag;59;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
1;8;dag;79;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,5;10;min;12;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,5;30;min;17;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,5;60;min;20;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,5;2;uur;24;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,5;4;uur;28;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,5;8;uur;33;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,5;12;uur;36;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,5;24;uur;44;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,5;2;dag;54;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,5;4;dag;69;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,5;8;dag;90;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,2;10;min;15;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,2;30;min;21;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,2;60;min;26;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,2;2;uur;31;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,2;4;uur;36;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,2;8;uur;42;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,2;12;uur;45;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,2;24;uur;54;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,2;2;dag;66;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,2;4;dag;81;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,2;8;dag;105;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,1;10;min;18;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,1;30;min;25;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,1;60;min;31;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,1;2;uur;37;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,1;4;uur;43;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,1;8;uur;49;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,1;12;uur;53;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,1;24;uur;63;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,1;2;dag;75;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,1;4;dag;92;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,1;8;dag;116;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,05;10;min;20;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,05;30;min;30;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,05;60;min;37;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,05;2;uur;44;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,05;4;uur;51;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,05;8;uur;58;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,05;12;uur;62;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,05;24;uur;73;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,05;2;dag;85;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,05;4;dag;102;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,05;8;dag;127;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,04;10;min;21;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,04;30;min;32;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,04;60;min;40;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,04;2;uur;47;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,04;4;uur;54;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,04;8;uur;61;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,04;12;uur;65;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,04;24;uur;76;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,04;2;dag;88;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,04;4;dag;106;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,04;8;dag;131;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,02;10;min;25;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,02;30;min;38;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,02;60;min;48;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,02;2;uur;57;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,02;4;uur;65;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,02;8;uur;72;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,02;12;uur;77;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,02;24;uur;87;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,02;2;dag;100;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,02;4;dag;117;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,02;8;dag;141;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,01;10;min;29;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,01;30;min;46;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,01;60;min;58;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,01;2;uur;68;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,01;4;uur;78;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,01;8;uur;86;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,01;12;uur;90;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,01;24;uur;99;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,01;2;dag;111;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,01;4;dag;128;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,01;8;dag;152;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,005;10;min;33;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,005;30;min;55;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,005;60;min;70;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,005;2;uur;81;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,005;4;uur;89;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,005;8;uur;95;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,005;12;uur;98;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,005;24;uur;112;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,005;2;dag;124;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,005;4;dag;140;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,005;8;dag;163;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,004;10;min;35;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,004;30;min;58;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,004;60;min;75;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,004;2;uur;87;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,004;4;uur;94;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,004;8;uur;100;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,004;12;uur;103;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,004;24;uur;117;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,004;2;dag;128;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,004;4;dag;144;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,004;8;dag;167;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,002;10;min;41;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,002;30;min;70;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,002;60;min;91;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,002;2;uur;105;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,002;4;uur;112;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,002;8;uur;117;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,002;12;uur;120;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,002;24;uur;132;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
