FREQ;DUUR;TIJDSEENHEID;Q;BRON;PERIODE;REF_JAAR;SCENARIO;;
0,05;24;uur;90;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,05;2;dag;100;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,05;4;dag;115;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,05;8;dag;141;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,04;10;min;26;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,04;30;min;39;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,04;60;min;49;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,04;2;uur;58;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,04;4;uur;67;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,04;8;uur;75;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,04;12;uur;80;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,04;24;uur;94;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,04;2;dag;104;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,04;4;dag;119;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,04;8;dag;145;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,02;10;min;30;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,02;30;min;47;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,02;60;min;59;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,02;2;uur;70;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,02;4;uur;80;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,02;8;uur;89;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,02;12;uur;94;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,02;24;uur;107;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,02;2;dag;117;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,02;4;dag;131;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,02;8;dag;157;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,01;10;min;35;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,01;30;min;57;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,01;60;min;71;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,01;2;uur;84;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,01;4;uur;96;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,01;8;uur;106;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,01;12;uur;111;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,01;24;uur;122;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,01;2;dag;131;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,01;4;dag;144;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,01;8;dag;169;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,005;10;min;41;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,005;30;min;68;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,005;60;min;86;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,005;2;uur;100;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,005;4;uur;109;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,005;8;uur;117;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,005;12;uur;121;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,005;24;uur;138;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,005;2;dag;146;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,005;4;dag;157;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,005;8;dag;181;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,004;10;min;43;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,004;30;min;72;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,004;60;min;92;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,004;2;uur;107;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,004;4;uur;116;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,004;8;uur;123;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,004;12;uur;127;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,004;24;uur;144;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,004;2;dag;151;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,004;4;dag;162;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,004;8;dag;185;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,002;10;min;50;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,002;30;min;87;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,002;60;min;112;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,002;2;uur;130;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,002;4;uur;138;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,002;8;uur;145;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,002;12;uur;148;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,002;24;uur;163;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,002;2;dag;167;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,002;4;dag;176;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,002;8;dag;197;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,001;10;min;59;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,001;30;min;105;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,001;60;min;137;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,001;2;uur;158;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,001;4;uur;166;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,001;8;uur;171;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,001;12;uur;172;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,001;24;uur;183;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,001;2;dag;185;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,001;4;dag;190;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,001;8;dag;209;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
2;10;min;2;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
2;30;min;4;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
2;60;min;5;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
2;2;uur;8;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
2;4;uur;10;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
2;8;uur;14;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
2;12;uur;16;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
2;24;uur;22;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
2;2;dag;29;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
2;4;dag;39;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
2;8;dag;55;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
1;10;min;3;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
1;30;min;5;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
1;60;min;7;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
1;2;uur;9;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
1;4;uur;13;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
1;8;uur;17;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
1;12;uur;19;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
1;24;uur;26;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
1;2;dag;34;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
1;4;dag;47;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
1;8;dag;66;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,5;10;min;4;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,5;30;min;6;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,5;60;min;8;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,5;2;uur;11;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,5;4;uur;15;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,5;8;uur;20;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,5;12;uur;23;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,5;24;uur;30;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,5;2;dag;40;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,5;4;dag;55;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,5;8;dag;76;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,2;10;min;5;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,2;30;min;7;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,2;60;min;10;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,2;2;uur;14;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,2;4;uur;18;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,2;8;uur;24;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,2;12;uur;28;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,2;24;uur;36;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,2;2;dag;48;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,2;4;dag;65;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,2;8;dag;89;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,1;10;min;6;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,1;30;min;9;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,1;60;min;11;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,1;2;uur;16;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,1;4;uur;21;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,1;8;uur;27;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,1;12;uur;32;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,1;24;uur;41;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,1;2;dag;54;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,1;4;dag;73;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,1;8;dag;99;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,05;10;min;7;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,05;30;min;10;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,05;60;min;13;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,05;2;uur;18;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,05;4;uur;24;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,05;8;uur;31;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,05;12;uur;36;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,05;24;uur;46;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,05;2;dag;61;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,05;4;dag;81;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,05;8;dag;109;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,04;10;min;8;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,04;30;min;10;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,04;60;min;14;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,04;2;uur;18;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,04;4;uur;24;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,04;8;uur;32;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,04;12;uur;37;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,04;24;uur;47;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,04;2;dag;63;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,04;4;dag;84;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,04;8;dag;111;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,02;10;min;9;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,02;30;min;12;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,02;60;min;16;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,02;2;uur;21;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,02;4;uur;27;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,02;8;uur;35;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,02;12;uur;41;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,02;24;uur;53;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,02;2;dag;70;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,02;4;dag;92;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,02;8;dag;121;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,01;10;min;10;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,01;30;min;14;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,01;60;min;17;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,01;2;uur;23;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,01;4;uur;30;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,01;8;uur;39;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,01;12;uur;45;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,01;24;uur;59;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,01;2;dag;77;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,01;4;dag;100;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,01;8;dag;129;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,005;10;min;12;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,005;30;min;15;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,005;60;min;19;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,005;2;uur;25;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,005;4;uur;33;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,005;8;uur;43;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,005;12;uur;49;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,005;24;uur;64;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,005;2;dag;84;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,005;4;dag;109;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,005;8;dag;138;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,004;10;min;13;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,004;30;min;16;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,004;60;min;20;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,004;2;uur;26;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,004;4;uur;34;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,004;8;uur;44;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,004;12;uur;50;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,004;24;uur;66;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,004;2;dag;87;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,004;4;dag;112;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,004;8;dag;140;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,002;10;min;14;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,002;30;min;18;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,002;60;min;22;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,002;2;uur;29;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,002;4;uur;37;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,002;8;uur;48;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,002;12;uur;55;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,002;24;uur;73;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,002;2;dag;94;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,002;4;dag;120;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,002;8;dag;149;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,001;10;min;17;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,001;30;min;20;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,001;60;min;25;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,001;2;uur;31;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,001;4;uur;41;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,001;8;uur;52;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,001;12;uur;59;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,001;24;uur;80;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,001;2;dag;102;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,001;4;dag;129;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
0,001;8;dag;156;Neerslagstatistiek KNMI23 tabel 10 p. 27;Winter;2024;;;
2;10;min;3;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
2;30;min;5;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
2;60;min;7;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
2;2;uur;9;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
2;4;uur;13;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
2;8;uur;17;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
2;12;uur;20;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
2;24;uur;27;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
2;2;dag;35;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
2;4;dag;47;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
2;8;dag;65;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
1;10;min;4;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
1;30;min;6;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
1;60;min;8;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
1;2;uur;12;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
1;4;uur;16;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
1;8;uur;21;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
1;12;uur;24;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
1;24;uur;32;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
1;2;dag;42;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
1;4;dag;56;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
1;8;dag;77;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,5;10;min;5;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,5;30;min;7;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,5;60;min;10;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,5;2;uur;14;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,5;4;uur;19;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,5;8;uur;25;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,5;12;uur;29;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,5;24;uur;37;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,5;2;dag;49;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,5;4;dag;65;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,5;8;dag;90;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,2;10;min;6;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,2;30;min;9;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,2;60;min;12;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,2;2;uur;17;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,2;4;uur;23;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,2;8;uur;30;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,2;12;uur;35;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,2;24;uur;45;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,2;2;dag;58;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,2;4;dag;77;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,2;8;dag;106;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,1;10;min;7;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,1;30;min;11;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,1;60;min;14;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,1;2;uur;19;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,1;4;uur;26;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,1;8;uur;34;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,1;12;uur;39;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,1;24;uur;51;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,1;2;dag;66;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,1;4;dag;87;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,1;8;dag;117;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,05;10;min;9;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,05;30;min;12;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,05;60;min;16;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,05;2;uur;22;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,05;4;uur;29;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,05;8;uur;38;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,05;12;uur;44;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,05;24;uur;57;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,05;2;dag;74;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
0,05;4;dag;96;Neerslagstatistiek KNMI23 tabel 11 p. 27;Winter;2100;H;;
